injector_code,manufacturer_name,volt_ampere_profile,is_custom
A0280745902,Mercedes,VA_A0280745902,FALSE
BEBE4B01001,Delphi,VA_BEBE4B01001,FALSE
BEBE4B10001,Delphi,VA_BEBE4B10001,FALSE
BEBE4B10101,Delphi,VA_BEBE4B10101,FALSE
BEBE4C01001,Delphi,VA_BEBE4C01001,FALSE
BEBE4C01101,Delphi,VA_BEBE4C01101,FALSE
BEBE4D00203,Delphi,VA_BEBE4D00203,FALSE
BEBE4D11001,Delphi,VA_BEBE4D11001,FALSE
BEBE4D11101,Delphi,VA_BEBE4D11101,FALSE
BEBE4D24003,Delphi,VA_BEBE4D24003,FALSE
CAT-generic,Caterpillar,VA_CAT-generic,FALSE
Cummins HPI,Scania,VA_Cummins HPI,FALSE
EURO6,Hyundai,VA_EURO6,FALSE
HPI_TEST,HPITest,VA_HPI_TEST,FALSE
MN980235,Mitsubishi,VA_MN980235,FALSE
RE533501,John Deere,VA_RE533501,FALSE
RMYM21 9A543 AA,Ford,VA_RMYM21 9A543 AA,FALSE
Scania HPI,Cummins,VA_Scania HPI,FALSE
VW Piezo(1),VAG,VA_VW Piezo(1),FALSE
XM219 A543 AA,Ford,VA_XM219 A543 AA,FALSE
XM219 A543 AB,Ford,VA_XM219 A543 AB,FALSE
YM219 A543 BA,Ford,VA_YM219 A543 BA,FALSE
YM219 A543 BB,Ford,VA_YM219 A543 BB,FALSE
33088-84700(1),Hyundai,VA_33088-84700(1),FALSE
33800-82000(1),Hyundai,VA_33800-82000(1),FALSE
33800-82700(1),Hyundai,VA_33800-82700(1),FALSE
33800-84400(1),Hyundai,VA_33800-84400(1),FALSE
33800-84710,Hyundai,VA_33800-84710,FALSE
33800-84820(1),Hyundai,VA_33800-84820(1),FALSE
33800-84820_hanil(1),Hyundai,VA_33800-84820_hanil(1),FALSE
BEBE4B01001(1),Delphi,VA_BEBE4B01001(1),FALSE
CAT 3600,Caterpillar,VA_CAT 3600,FALSE
Cummins HPI 2,Scania,VA_Cummins HPI 2,FALSE
Scania HPI(1),Cummins,VA_Scania HPI(1),FALSE
33800-84300-CR,DelphiF2E,VA_33800-84300-CR,FALSE
Cummins QSK,Cummins,VA_Cummins HPI 3,FALSE
CAT C15/C18,Caterpillar,VA_CAT_C15/C18,FALSE
EMD,EMD,VA_EMD,FALSE
CAT 3116,Caterpillar,VA_CAT 3600,FALSE
