id,code1,description,code2
1355,HU095000-769,Toyota RAV4 2AD-FTV 2011/01,23670-09230
1356,HU095000-769,Toyota RAV4 2AD-FTV 2011/01,23670-09270
1357,HU095000-793,Ford Transit PUMA (I4) 2.4L (TDCi) 2009/06,9C1Q-9K546-BA
1358,HU095000-793,Ford Transit PUMA (I4) 2.4L (TDCi) 2009/06,9C1Q-9K546-BA
1359,HU095000-793,Ford Transit PUMA 3.2L (TDCi) 2009/06,9C1Q-9K546-BA
1360,HU095000-872,John Deere Tractor 4045T 6068T S350 Tier3 (4 cil.) 2005/12,RE529118
1361,HU095000-880,John Deere Tractor 4045T 6068T S350 Tier3 (4 cil.) 2005/12,RE529118
1362,HU095000-881,John Deere Tractor 4045T 6068T S350 Tier3 (4 cil.) 2005/12,RE532216
1363,HU295050-005,Opel Astra A17DTR Euro5 2010/01,5-5567729C-A
1364,HU295050-005,Opel Astra A17DTR Euro5 2010/01,5-5567729C-A
1365,HU295050-005,Opel Combo A17DTR Euro5 2010/01,5-5567729C-A
1366,HU295050-005,Opel Combo A17DTR Euro5 2010/01,5-5567729C-A
1367,HU295050-005,Opel Corsa A17DTR Euro5 2010/01,5-5567729C-A
1368,HU295050-005,Opel Corsa A17DTR Euro5 2010/01,5-5567729C-A
1369,HU295050-005,Opel Meriva A17DT Euro5 2010/01,5-5567729C-A
1370,HU295050-005,Opel Meriva A17DT Euro5 2010/01,5-5567729C-A
1371,HU295050-005,Opel Zafira A17DTR Euro5 2010/01,5-5567729C-A
1372,HU295050-005,Opel Zafira A17DTR Euro5 2010/01,5-5567729C-A
1373,HU295050-030,Nissan Murano YD25 Euro5 2010/02,16600-5X00
1374,HU295050-030,Nissan Murano YD25 Euro5 2010/02,16600-5X00
1375,HU295050-030,Nissan Navara YD25 Euro5 2010/01,16600-5X00
1376,HU295050-030,Nissan Navara YD25 Euro5 2010/01,16600-5X00
1377,HU295050-030,Nissan Pathfinder YD25 Euro5 2010/01,16600-5X00
1378,HU295050-030,Nissan Pathfinder YD25 Euro5 2010/01,16600-5X00
1379,HU295900-0070,Toyota Auris 2AD-FHV 130KW,23670-0R080
1380,HU295900-0070,Toyota Auris 2AD-FHV DPNR M130kW,23670-0R080
1381,HU295900-0070,Toyota Avensis 2AD-FHV 130kW 2009/01,23670-0R080
1382,HU295900-0070,Toyota Avensis 2AD-FHV DPNR M130kW 2009/01,23670-0R080
1383,HU295900-0070,Toyota Corolla Verso 2AD-FHV 2009/01,23670-0R080
1384,HU295900-0070,Toyota Corolla Verso 2AD-FHV DPNR 2009/01,23670-0R080
1385,HU295900-0080,Toyota Auris 2AD-FHV 110KW,23670-0R090
1386,HU295900-0080,Toyota Auris 2AD-FHV DPNR A110kW,23670-0R090
1387,HU295900-0080,Toyota Avensis 2AD-FHV 110kW 2009/01,23670-0R090
1388,HU295900-0080,Toyota Avensis 2AD-FHV DPNR A110kW 2009/01,23670-0R090
1389,HU295900-0080,Toyota Avensis 2AD-FTV DPF 2009/01,23670-0R090
1390,HU295900-0080,Toyota Corolla Verso 2AD-FHV 2009/01,23670-0R090
1391,HU295900-0080,Toyota Corolla Verso 2AD-FHV DPF 2009/01,23670-0R090
1392,HU295900-0090,Toyota Auris 1AD-FTV 2009/01,23670-0R100
1393,HU295900-0090,Toyota Auris 1AD-FTV DPF (CCO) 2009/01,23670-0R100
1394,HU295900-0090,Toyota Avensis 1AD-FTV DPF (CCO) 2009/01,23670-0R100
1395,HU295900-0090,Toyota Avensis 1AD-FTV DPF 2009/01,23670-0R100
1396,HU295900-0090,Toyota Corolla 1AD-FTV 2009/01,23670-0R100
1397,HU295900-0090,Toyota Corolla 1AD-FTV DPF (CCO) 2009/01,23670-0R100
1398,HU295900-0090,Toyota Corolla Verso 1AD-FTV 2009/01,23670-0R100
1399,HU295900-0090,Toyota Corolla Verso 1AD-FTV DPF (CCO) 2009/01,23670-0R100
1400,HU295900-013,Toyota Auris 2AD-FHV 130kW 2007/01,23670-0R041
1401,HU295900-013,Toyota Auris 2AD-FHV 130kW 2008/01,23670-0R040
1402,HU295900-013,Toyota Auris 2AD-FHV 130kW 2008/01,23670-0R041
1403,HU295900-013,Toyota Auris 2AD-FHV 130kW 2011/01,23670-0R040
1404,HU295900-013,Toyota Auris 2AD-FHV 130kW 2011/01,23670-0R041
1405,HU295900-013,Toyota Avensis 2AD-FHV 130kW 2005/07,23670-0R040
1406,HU295900-013,Toyota Avensis 2AD-FHV 130kW 2005/07,23670-0R041
1407,HU295900-013,Toyota Avensis 2AD-FHV 130kW 2008/01,23670-0R040
1408,HU295900-013,Toyota Avensis 2AD-FHV 130kW 2008/01,23670-0R041
1409,HU295900-013,Toyota Corolla 2AD-FHV 130kW 2006/10,23670-0R040
1410,HU295900-013,Toyota Corolla 2AD-FHV 130kW 2008/01,23670-0R040
1411,HU295900-013,Toyota Corolla 2AD-FHV 130kW 2011/01,23670-0R040
1412,HU295900-013,Toyota Corolla Verso 2AD-FHV 130kW 2005/10,23670-0R041
1413,HU295900-013,Toyota Corolla Verso 2AD-FHV 130kW 2008/01,23670-0R040
1414,HU295900-013,Toyota Corolla Verso 2AD-FHV 130kW 2008/01,23670-0R041
1415,HU295900-013,Toyota Corolla Verso 2AD-FHV 130kW 2011/01,23670-0R040
1416,HU295900-013,Toyota Corolla Verso 2AD-FHV 130kW 2011/01,23670-0R041
1417,HU295900-013,Toyota RAV4 2AD-FHV 130kW 2005/07,23670-0R041
1418,HU295900-013,Toyota RAV4 2AD-FHV 130kW 2008/01,23670-0R040
1419,HU295900-013,Toyota RAV4 2AD-FHV 130kW 2008/01,23670-0R041
1420,HU295900-013,Toyota RAV4 2AD-FHV 130kW 2011/01,23670-0R040
1421,HU295900-013,Toyota RAV4 2AD-FHV 130kW 2011/01,23670-0R041
1422,SM095000-543,Isuzu D-Max/Rodeo 4JJ1 3.0L 2007/01,8-97311372
1423,SM095000-543,Isuzu D-Max/Rodeo 4JJ1 3.0L 2007/01,8-97311372
1424,SM095000-543,Isuzu D-Max/Rodeo 4JJ1 3.0L 2007/01,8-97311372
1425,SM095000-552,Replacement SM095000-775,-
1426,SM095000-560,Mitsubishi L200 4D56 Euro3 2007/03,1465A041
1427,SM095000-560,Mitsubishi L200 4D56 Euro3 2010/01,1465A041
1428,SM095000-560,Mitsubishi L200 4D56 Euro3 2010/06,1465A041
1429,SM095000-560,Mitsubishi L200 4D56 Euro4 2006/02,1465A041
1430,SM095000-560,Mitsubishi L200 4D56 Euro4 2010/01,1465A041
1431,SM095000-560,Mitsubishi L200 4D56 Euro4 2010/06,1465A041
1432,SM095000-575,Isuzu D-Max/Rodeo 4JK1 2.5L 2007/01,8-97354811
1433,SM095000-575,Isuzu D-Max/Rodeo 4JK1 2.5L 2007/01,8-97354811
1434,SM095000-576,Mitsubishi Pajero/Montero 4M41 Euro3 2007/03,1465A054
1435,SM095000-576,Mitsubishi Pajero/Montero 4M41 Euro3 2010/01,1465A054
1436,SM095000-576,Mitsubishi Pajero/Montero 4M41 Euro3 2010/06,1465A054
1437,SM095000-576,Mitsubishi Pajero/Montero 4M41 Euro4 2006/12,1465A054
1438,SM095000-576,Mitsubishi Pajero/Montero 4M41 Euro4 2010/06,1465A054
1439,SM095000-610,Isuzu D-Max/Rodeo 4JJ1 3.0L 2007/01,8-98011604-0
1440,SM095000-610,Isuzu D-Max/Rodeo 4JJ1 3.0L 2007/01,8-98011604-0
1441,SM095000-617,Isuzu D-Max/Rodeo 4JK1 2.5L 2007/01,8-98011605-0
1442,SM095000-617,Isuzu D-Max/Rodeo 4JK1 2.5L 2007/01,8-98011605-0
1443,SM095000-619,Toyota Hiace 2KD-FTV 2005/08,23670-30100
1444,SM095000-619,Toyota Hilux 2KD-FTV 2005/08,23670-30100
1445,SM095000-698,Isuzu D-Max/Rodeo 4JJ1 3.0L 2009/05,8-98011604-1
1446,SM095000-698,Isuzu D-Max/Rodeo 4JJ1 3.0L 2009/05,8-98011604-1
1447,SM095000-699,Isuzu D-Max/Rodeo 4JK1 2.5L 2009/05,8-98011605-1
1448,SM095000-699,Isuzu D-Max/Rodeo 4JK1 2.5L 2009/05,8-98011605-1
1449,SM095000-699,Isuzu D-Max/Rodeo 4JK1 2.5L 2010/06,8-98011605-1
1450,SM095000-699,Isuzu D-Max/Rodeo 4JK1 2.5L 2010/06,8-98011605-1
1451,SM095000-749,Mitsubishi L200 4D56 DI-DC High Power 2009/01,1465A297
1452,SM095000-749,Mitsubishi L200 4D56 DI-DC High Power 2010/06,1465A297
1453,SM095000-750,Mitsubishi Pajero/Montero 4M41 DI-DC High Power 2009/01,1465A279
1454,SM095000-750,Mitsubishi Pajero/Montero 4M41 DI-DC High Power 2010/01,1465A279
1455,SM095000-775,Toyota Hiace 2KD-FTV 2005/07,23670-0L010
1456,SM095000-775,Toyota Hiace 2KD-FTV 2005/07,23670-0L011
1457,SM095000-775,Toyota Hiace 2KD-FTV 2005/07,23670-30240
1458,SM095000-775,Toyota Hiace 2KD-FTV 2005/07,23670-30300
1459,SM095000-775,Toyota Hilux 2KD-FTV 2004/06,23670-0L010
1460,SM095000-775,Toyota Hilux 2KD-FTV 2004/06,23670-0L070
1461,SM095000-775,Toyota Hilux 2KD-FTV 2004/06,23670-30300
1462,SM095000-775,Toyota Hilux 2KD-FTV 2005/07,23670-0L011
1463,SM095000-775,Toyota Hilux 2KD-FTV 2005/07,23670-30240
1464,SM095000-775,Toyota Hilux 2KD-FTV 2005/07,23670-30300
1465,SM095000-775,Toyota Land Cruiser 1KD-FTV Euro4 2007/06,23670-30300
1466,SM095000-776,Toyota Hiace 2KD-FTV 2005/07,23670-09060
1467,SM095000-776,Toyota Hiace 2KD-FTV 2005/07,23670-39235
1468,SM095000-776,Toyota Hiace 2KD-FTV 2005/07,23670-39275
1469,SM095000-776,Toyota Hilux 2KD-FTV 2004/06,23670-09060
1470,SM095000-776,Toyota Hilux 2KD-FTV 2004/06,23670-09360
1471,SM095000-776,Toyota Hilux 2KD-FTV 2004/06,23670-39275
1472,SM095000-776,Toyota Hilux 2KD-FTV 2005/07,23670-09060
1473,SM095000-776,Toyota Hilux 2KD-FTV 2005/07,23670-39235
1474,SM095000-776,Toyota Hilux 2KD-FTV 2005/07,23670-39275
1475,SM095000-811,Mitsubishi Pajero Sport 4M41 R/U 2009/01,1465A307
1476,SM095000-811,Mitsubishi Pajero Sport 4M41 R/U 2010/01,1465A307
1477,SM095000-811,Mitsubishi Pajero Sport 4M41 Russia/Ukraine 2007/03,1465A307
1478,SM095000-811,Mitsubishi Pajero Sport 4M41 Russia/Ukraine 2010/01,1465A307
1479,SM095000-811,Mitsubishi Pajero Sport 4M41 Russia/Ukraine 2010/06,1465A307
1480,SM295050-018,Toyota Hilux 1KD-FTV Euro4 2010/04,23670-0L090
1481,SM295050-018,Toyota Hilux 2KD-FTV Euro4 2010/04,23670-0L090
1482,SM295050-019,Toyota Hiace 1KD-FTV Euro4 2010/04,23670-0L100
1483,SM295050-052,Toyota Hilux 1KD-FTV Euro4 2010/04,23670-09350
1484,SM295050-052,Toyota Hilux 2KD-FTV Euro4 2010/04,23670-09350
1485,SM295050-053,Toyota Hiace 1KD-FTV Euro4 2010/04,23670-09340
1486,SM295050-0560,Mitsubishi Pajero/Montero 2010/10,1465A351
1487,SM295050-0800,Toyota Dyna 2KD-FTV Bajo lub. 2010/08,23670-39425
1488,SM295050-0800,Toyota Dyna 2KD-FTV Estándar 2010/08,23670-39425
1489,SM295050-0800,Toyota Hiace 2KD-FTV Estándar 2010/08,23670-39425
1490,SM295050-0800,Toyota Hilux 2KD-FTV Bajo lub. 2010/08,23670-39425
1491,SM295050-0800,Toyota Hilux 2KD-FTV Estándar 2010/08,23670-39425
1492,SM295050-0801,Toyota Dyna 2KD-FTV Bajo lub. 2010/08,23670-39425
1493,SM295050-0802,Toyota Hiace 2KD-FTV Estándar 2010/08,23670-39425
1494,SM295050-0803,Toyota Hiace 2KD-FTV Bajo lub. 2010/08,23670-39425
1495,SM295050-0804,Toyota Hilux 2KD-FTV Estándar 2010/08,23670-39425
1496,SM295050-0805,Toyota Hilux 2KD-FTV Bajo lub. 2010/08,23670-39425
1497,SM295050-0810,Toyota Dyna 2KD-FTV Bajo lub. 2010/08,23670-09380
1498,SM295050-0810,Toyota Dyna 2KD-FTV Estándar 2010/08,23670-09380
1499,SM295050-0810,Toyota Hiace 2KD-FTV Estándar 2010/08,23670-09380
1500,SM295050-0810,Toyota Hilux 2KD-FTV Bajo lub. 2010/08,23670-09380
1501,SM295050-0810,Toyota Hilux 2KD-FTV Estándar 2010/08,23670-09380
1502,SM295050-0811,Toyota Hiace 2KD-FTV Bajo lub. 2010/08,23670-09380
1503,SM295050-0812,Toyota Hilux 2KD-FTV Estándar 2010/08,23670-09380
1504,SM295050-0813,Toyota Hilux 2KD-FTV Bajo lub. 2010/08,23670-09380
