injector_code,manufacturer_name,volt_ampere_profile,code_type,calibration_id,coefficient,is_custom,is_heui
2645A747,Caterpillar,CATERPILLAR_COIL,-1,,,FALSE,FALSE
28231462-R,Delphi,DELPHI_COIL,2,,3,FALSE,FALSE
295050-001#,Denso,DENSO_COIL0.5,1,A2,30,FALSE,FALSE
295050-005#,Denso,DENSO_COIL0.5H,4,FF,22,FALSE,FALSE
295050-018#,Denso,DENSO_COIL0.5H,1,18,30,FALSE,FALSE
295050-019#,Denso,DENSO_COIL0.5H,1,25,30,FALSE,FALSE
295050-020#,Denso,DENSO_COIL0.5H,1,18,30,FALSE,FALSE
295050-021#,Denso,DENSO_COIL0.5H,1,25,30,FALSE,FALSE
295050-025#,Denso,DENSO_COIL0.5H,1,B2,30,FALSE,FALSE
295050-030#,Denso,DENSO_COIL0.5H,1,D8,30,FALSE,FALSE
295050-046#,Denso,DENSO_COIL0.5H,1,18,30,FALSE,FALSE
295050-047#,Denso,DENSO_COIL0.5H,1,25,30,FALSE,FALSE
295050-052#,Denso,DENSO_COIL0.5H,1,18,30,FALSE,FALSE
295050-053#,Denso,DENSO_COIL0.5H,1,25,30,FALSE,FALSE
295050-054#,Denso,DENSO_COIL0.5H,1,26,30,FALSE,FALSE
295050-056#,Denso,DENSO_COIL0.5H,1,99,30,FALSE,FALSE
295050-062#,Denso,DENSO_COIL0.5H,1,26,30,FALSE,FALSE
295050-080#,Denso,DENSO_COIL0.5H,1,26,30,FALSE,FALSE
295050-081#,Denso,DENSO_COIL0.5H,1,26,30,FALSE,FALSE
295050-105#,Denso,DENSO_COIL0.5H,1,DA,30,FALSE,FALSE
295050-106#,Denso,DENSO_COIL0.5H,1,DB,30,FALSE,FALSE
295050-117#,Denso,DENSO_COIL0.5H,1,43,30,FALSE,FALSE
295050-190#,Denso,DENSO_COIL0.5H,3,7A,24,FALSE,FALSE
295900-001#,Denso,DENSO_PIEZO,1,40,30,FALSE,FALSE
295900-002#,Denso,DENSO_PIEZO,1,40,30,FALSE,FALSE
295900-003#,Denso,DENSO_PIEZO,1,40,30,FALSE,FALSE
295900-005#,Denso,DENSO_PIEZO,1,33,30,FALSE,FALSE
295900-006#,Denso,DENSO_PIEZO,1,52,30,FALSE,FALSE
295900-008#,Denso,DENSO_PIEZO,1,33,30,FALSE,FALSE
295900-009#,Denso,DENSO_PIEZO,1,52,30,FALSE,FALSE
295900-010#,Denso,DENSO_PIEZO,1,40,30,FALSE,FALSE
295900-011#,Denso,DENSO_PIEZO,1,40,30,FALSE,FALSE
295900-013#,Denso,DENSO_PIEZO,1,40,30,FALSE,FALSE
295900-017#,Denso,DENSO_PIEZO,1,33,30,FALSE,FALSE
295900-018#,Denso,DENSO_PIEZO,1,52,30,FALSE,FALSE
295900-019#,Denso,DENSO_PIEZO,1,1A,30,FALSE,FALSE
295900-024#,Denso,DENSO_PIEZO,1,1A,30,FALSE,FALSE
295900-026#,Denso,DENSO_PIEZO,1,3C,30,FALSE,FALSE
295900-036#,Denso,DENSO_PIEZO,1,33,30,FALSE,FALSE
295900-037#,Denso,DENSO_PIEZO,1,52,30,FALSE,FALSE
295900-039#,Denso,DENSO_PIEZO,1,33,30,FALSE,FALSE
295900-040#,Denso,DENSO_PIEZO,1,52,30,FALSE,FALSE
