id,injector_code,test_name,motor_speed,setted_pressure,adjusting_time,measurement_time,injection_rate,total_pulse_time,nominal_flow,flow_range,volt_ampere_profile,total_pulse_time2,shift
155,3172300,3,1000,1350,20,40,60,1050,,,,,
156,3172300,4,1000,1350,20,40,60,1050,52,57.69,,,
157,3172300,6,1000,1350,20,40,60,1050,57.2,12,,,
158,3172300,10,1000,800,20,40,60,800,28.0,21.9,,,
159,3172300,11,1000,800,40,60,60,220,3.2,70,,,
160,3172300,13,1000,300,20,40,60,600,7.0,60,,,
161,3264700,2,1000,1350,20,40,,0,,,,,
162,3264700,3,1000,1350,20,40,60,1050,,,,,
163,3264700,4,1000,1350,20,40,60,1050,52,57.69,,,
164,3264700,6,1000,1350,20,40,60,1050,57.2,12,,,
165,3264700,10,1000,800,20,40,60,800,28.0,21.9,,,
166,3264700,11,1000,800,40,60,60,220,3.2,70,,,
167,3264700,13,1000,300,20,40,60,600,7.0,60,,,
168,8603177,2,1000,1350,20,40,,0,,,,,
169,8603177,3,1000,300,20,40,60,2500,,,SIEMENS_PIEZO_H,,
170,8603177,4,1000,1350,20,40,60,810,38,70,,,
171,8603177,5,1000,250,20,60,60,540,5,60,,,
172,8603177,6,1000,1600,20,40,60,1200,66.8,15,,,
173,8603177,10,1000,1200,20,40,60,600,30.5,30,,,
174,8603177,11,1000,800,40,60,60,170,2.5,85,,,
175,8603177,13,1000,250,20,40,60,540,4.9,50,,,
176,8603319,2,1000,1350,20,40,,0,,,,,
177,8603319,3,1000,300,20,40,60,2500,,,SIEMENS_PIEZO_H,,
178,8603319,4,1000,1350,20,40,60,810,38,70,,,
179,8603319,5,1000,250,20,60,60,540,5,60,,,
180,8603319,6,1000,1600,20,40,60,1200,66.8,15,,,
181,8603319,10,1000,1200,20,40,60,600,30.5,30,,,
182,8603319,11,1000,800,40,60,60,170,2.5,85,,,
183,8603319,13,1000,250,20,40,60,540,4.9,50,,,
184,8603564,2,1000,1350,20,40,,0,,,,,
185,8603564,3,1000,300,20,40,60,2500,,,SIEMENS_PIEZO_H,,
186,8603564,4,1000,1350,20,40,60,810,38,70,,,
187,8603564,5,1000,250,20,60,60,540,5,60,,,
188,8603564,6,1000,1600,20,40,60,1200,66.8,15,,,
189,8603564,10,1000,1200,20,40,60,600,30.5,30,,,
190,8603564,11,1000,800,40,60,60,170,2.5,85,,,
191,8603564,13,1000,250,20,40,60,540,4.9,50,,,
192,8603565,2,1000,1350,20,40,,0,,,,,
193,8603565,3,1000,300,20,40,60,2500,,,SIEMENS_PIEZO_H,,
194,8603565,4,1000,1350,20,40,60,810,38,70,,,
195,8603565,5,1000,250,20,60,60,540,5,60,,,
196,8603565,6,1000,1600,20,40,60,1200,66.8,15,,,
197,8603565,10,1000,1200,20,40,60,600,30.5,30,,,
198,8603565,11,1000,800,40,60,60,170,2.5,85,,,
199,8603565,13,1000,250,20,40,60,540,4.9,50,,,
200,18112616,2,1000,1350,20,40,,0,,,,,
201,18112616,3,1000,300,20,40,60,2500,,,SIEMENS_PIEZO_H,,
202,18112616,4,1000,1350,20,40,60,810,30,70,,,
203,18112616,5,1000,250,20,60,60,540,5,60,,,
204,18112616,6,1000,1600,20,40,60,1200,65.8,15,,,
205,18112616,10,1000,1200,20,40,60,600,35.5,30,,,
206,18112616,11,1000,800,40,90,60,170,2,85,,,
207,18112616,13,1000,250,20,40,60,540,6.5,50,,,
208,28229873,2,1000,1350,20,40,,0,,,,,
209,28229873,3,1000,1600,20,40,60,800,,,,,
210,28229873,4,1000,1600,20,40,60,800,28,50,,,
211,28229873,14,1000,1600,20,40,60,1415,79.5,12.45,,,
212,28229873,15,1000,1600,20,40,60,302,5.29,80,,,
213,28229873,16,1000,1600,40,60,120,263,1.56,86.05,,,
214,28229873,17,1000,1600,20,40,60,922,54.38,12.14,,,
215,28229873,18,1000,1600,20,40,60,634,36.2,17.68,,,
216,28229873,19,1000,1600,20,40,60,378,9.09,36.3,,,
217,28229873,20,1000,1600,40,60,60,276,2.04,73.53,,,
218,28229873,21,1000,800,20,40,60,1530,60.4,13.25,,,
219,28229873,22,1000,800,40,60,60,334,2.88,79.86,,,
220,28229873,23,1000,800,20,40,60,1390,54.89,12.15,,,
221,28229873,24,1000,800,20,40,60,858,35.04,15.98,,,
222,28229873,25,1000,800,20,40,60,478,8.81,38.59,,,
223,28229873,26,1000,800,20,40,60,359,4.94,72.87,,,
224,28229873,27,1000,400,20,40,60,1434,40.36,16.35,,,
225,28229873,28,1000,400,20,40,60,513,5.22,82.38,,,
226,28231014,2,1000,1350,20,40,,0,,,,,
227,28231014,3,1000,1600,20,40,60,800,,,,,
228,28231014,4,1000,1600,20,40,60,800,28,50,,,
229,28231014,14,1000,1600,20,40,60,1544,82.19,11.92,,,
230,28231014,15,1000,1600,20,40,60,314,3.62,77.35,,,
231,28231014,16,1000,1600,20,40,60,241,3.05,89.17,,,
232,28231014,17,1000,1600,20,40,60,920,55.6,16.19,,,
233,28231014,18,1000,1600,20,40,60,632,36.9,18.43,,,
234,28231014,19,1000,1600,20,40,60,378,7.38,54.2,,,
235,28231014,20,1000,1600,20,40,60,289,4.82,74.69,,,
236,28231014,21,1000,800,20,40,60,1530,60.54,15.53,,,
237,28231014,22,1000,800,40,60,60,311,2.48,80.65,,,
238,28231014,23,1000,800,20,40,60,1370,53.25,16.15,,,
239,28231014,24,1000,800,20,40,60,858,33.2,16.97,,,
240,28231014,25,1000,800,20,40,60,478,9.05,39.78,,,
241,28231014,26,1000,800,20,40,60,359,4.5,71.11,,,
242,28231014,27,1000,400,20,40,60,1486,33.98,17.07,,,
243,28231014,28,1000,400,20,40,60,513,3.6,80.56,,,
244,28231462,2,1000,1350,20,40,,0,,,,,
245,28231462,3,1000,1600,20,40,60,800,,,,,
246,28231462,4,1000,1600,20,40,60,800,30,40,,,
247,28231462,14,1000,1600,20,40,60,1460,46.1,10.41,,,
248,28231462,15,1000,1600,40,60,60,250,2.2,81.45,,,
249,28231462,16,1000,1600,40,60,60,218,1.29,85.71,,,
250,28231462,17,1000,1600,20,40,60,980,34.6,11.27,,,
251,28231462,18,1000,1600,20,40,60,634,26.02,17.29,,,
252,28231462,19,1000,1600,20,40,60,382,12.41,32.23,,,
253,28231462,20,1000,1600,20,40,60,282,3.98,72.86,,,
254,28231462,21,1000,800,20,40,60,1364,31.96,13.14,,,
255,28231462,22,1000,800,40,60,60,289,2.26,80,,,
256,28231462,23,1000,800,20,40,60,1268,30.52,18.02,,,
257,28231462,24,1000,800,20,40,60,858,23.22,15.5,,,
258,28231462,25,1000,800,20,40,60,510,11.02,45.37,,,
259,28231462,26,1000,800,20,40,60,350,5.45,67.62,,,
260,28231462,27,1000,400,20,40,60,1383,22.58,16.83,,,
261,28231462,28,1000,400,20,40,60,513,5.76,82.76,,,
262,28232234,2,1000,1350,20,40,,0,,,,,
263,28232234,3,1000,1600,20,40,60,800,,,,,
264,28232234,4,1000,1600,20,40,60,800,28,50,,,
265,28232234,14,1000,1600,20,40,60,1480,56.57,14.14,,,
266,28232234,15,1000,1600,40,60,60,276,1.45,80,,,
267,28232234,16,1000,1600,40,60,60,266,0.57,86.05,,,
268,28232234,17,1000,1600,20,40,60,1115,43.98,13.64,,,
269,28232234,18,1000,1600,20,40,60,632,26.43,17.4,,,
270,28232234,19,1000,1600,20,40,60,408,10.44,32.57,,,
271,28232234,20,1000,1600,20,60,60,324,4,70,,,
272,28232234,21,1000,800,20,40,60,1530,41.01,13.66,,,
273,28232234,22,1000,800,40,60,60,318,1.61,80,,,
274,28232234,23,1000,800,20,40,60,1249,35.72,12.88,,,
275,28232234,24,1000,800,20,40,60,833,25.4,16.54,,,
276,28232234,25,1000,800,20,40,60,529,10.1,39.6,,,
277,28232234,26,1000,800,20,40,60,388,5.09,66.8,,,
278,28232234,27,1000,400,20,40,60,1434,27.7,17.33,,,
279,28232234,28,1000,400,40,60,60,513,2.84,77.46,,,
280,28232242,2,1000,1350,20,40,,0,,,,,
281,28232242,3,1000,1350,20,40,60,808,,,,,
282,28232242,4,1000,1350,20,40,60,889,26.5,51,,,
