injector_code,mask_type,shift_voltage,char_0,char_1,char_2,char_3,char_4,char_5,char_6,char_7,char_8,char_9,char_10,char_11,char_12,char_13,char_14,char_15
0986435372,TWO,16,0,0,0,0,96,100,104,108,112,116,120,0,0,0,0,0
0986435373,TWO,16,0,0,0,0,96,100,104,108,112,116,120,0,0,0,0,0
0986435374,ONE,16,0,0,0,0,98,102,106,110,114,118,122,0,0,0,0,0
0986435375,ONE,16,0,0,0,0,98,102,106,110,114,118,122,0,0,0,0,0
0986435376,TWO,16,0,0,0,0,98,102,106,110,114,118,122,0,0,0,0,0
0986435377,ONE,16,0,0,0,0,91,96,101,107,112,117,119,0,0,0,0,0
0986435378,ONE,16,0,0,0,0,91,96,101,107,112,117,119,0,0,0,0,0
0986435379,ONE,16,0,0,0,0,92,97,102,108,113,118,120,0,0,0,0,0
0986435380,ONE,16,0,0,87,91,95,99,103,107,111,0,0,0,0,0,0,0
0986435381,ONE,16,0,0,87,91,95,99,103,107,111,0,0,0,0,0,0,0
0986435382,ONE,16,0,0,89,93,97,101,105,109,113,0,0,0,0,0,0,0
0986435383,ONE,16,0,0,89,93,97,101,105,109,113,0,0,0,0,0,0,0
0986435384,ONE,16,0,0,90,94,98,102,106,110,114,0,0,0,0,0,0,0
0986435385,ONE,16,0,0,90,94,98,102,106,110,114,0,0,0,0,0,0,0
0986435388,TWO,16,0,0,0,0,98,102,106,110,114,118,122,0,0,0,0,0
0986435389,ONE,16,0,0,0,0,100,104,108,112,116,120,124,0,0,0,0,0
0986435390,ONE,16,0,0,0,0,100,104,108,112,116,120,124,0,0,0,0,0
0986435391,ONE,16,0,0,0,0,100,104,108,112,116,120,124,0,0,0,0,0
0986435392,ONE,16,0,0,0,0,97,101,105,109,113,117,121,0,0,0,0,0
0986435393,ONE,16,0,0,0,0,93,98,103,109,114,119,121,0,0,0,0,0
0986435394,ONE,16,0,0,0,0,92,97,102,108,113,118,120,0,0,0,0,0
0986435395,ONE,16,0,0,0,0,95,100,105,111,116,121,123,0,0,0,0,0
0986435396,ONE,16,0,0,0,0,97,101,105,109,113,117,121,0,0,0,0,0
0986435397,ONE,16,0,0,0,0,97,101,105,109,113,117,121,0,0,0,0,0
0986435398,ONE,16,0,0,0,0,96,100,104,108,112,116,120,0,0,0,0,0
0986435399,ONE,16,0,0,0,0,96,100,104,108,112,116,120,0,0,0,0,0
0986435400,ONE,16,0,0,0,0,93,97,101,105,109,113,117,0,0,0,0,0
0986435401,ONE,16,0,0,0,0,93,97,101,105,109,113,117,0,0,0,0,0
0986435402,ONE,16,0,0,0,0,98,102,106,110,114,118,122,0,0,0,0,0
0986435403,ONE,16,0,0,0,0,95,100,105,111,116,121,123,0,0,0,0,0
0986435404,ONE,16,0,0,0,0,89,94,99,105,110,115,117,0,0,0,0,0
0986435405,ONE,16,0,0,0,0,89,94,99,105,110,115,117,0,0,0,0,0
0986435406,ONE,16,0,0,0,0,92,97,102,108,113,118,120,0,0,0,0,0
0986435407,ONE,16,0,0,0,0,92,97,102,108,113,118,120,0,0,0,0,0
0986435408,ONE,16,0,0,0,0,94,99,104,110,115,120,122,0,0,0,0,0
0986435409,ONE,16,0,0,94,98,102,106,110,114,118,0,0,0,0,0,0,0
0986435410,ONE,16,0,0,94,98,102,106,110,114,118,0,0,0,0,0,0,0
0986435411,ONE,16,0,0,87,91,95,99,103,107,111,0,0,0,0,0,0,0
0986435412,ONE,16,0,0,89,93,97,101,105,109,113,0,0,0,0,0,0,0
0986435413,ONE,16,0,0,88,92,96,100,104,108,112,0,0,0,0,0,0,0
0986435414,ONE,16,0,0,89,93,97,101,105,109,113,0,0,0,0,0,0,0
0986435415,ONE,16,0,0,93,97,101,105,109,113,117,0,0,0,0,0,0,0
0986435417,ONE,16,0,0,0,0,97,101,105,109,113,117,121,0,0,0,0,0
0986435418,ONE,16,0,0,0,0,97,101,105,109,113,117,121,0,0,0,0,0
0986435419,ONE,16,0,0,0,0,98,102,106,110,114,118,122,0,0,0,0,0
0986435420,ONE,16,0,0,0,0,94,99,104,110,115,120,122,0,0,0,0,0
0986435421,ONE,16,0,0,0,0,101,105,109,113,117,121,125,0,0,0,0,0
0986435422,ONE,16,0,0,0,0,94,99,104,110,115,120,122,0,0,0,0,0
0986435423,ONE,16,0,0,0,0,93,97,101,105,109,113,117,0,0,0,0,0
0986435424,ONE,16,0,0,0,0,93,98,103,109,114,119,121,0,0,0,0,0
0986435425,ONE,16,0,0,88,92,96,100,104,108,112,0,0,0,0,0,0,0
0986435426,ONE,16,0,0,0,0,96,100,104,108,112,116,120,0,0,0,0,0
0986435428,ONE,16,0,0,0,0,0,0,0,0,0,0,89,101,109,115,0,0
0986435429,ONE,16,0,0,0,0,97,102,107,113,118,123,125,0,0,0,0,0
0986435430,ONE,16,0,0,0,0,92,97,102,108,113,118,120,0,0,0,0,0
0986435432,ONE,16,0,0,89,93,97,101,105,109,113,0,0,0,0,0,0,0
0986435435,ONE,16,0,0,0,0,100,104,108,112,116,120,124,0,0,0,0,0
0986435437,ONE,16,0,0,0,0,92,97,102,108,113,118,120,0,0,0,0,0
0986435438,ONE,16,0,0,0,0,97,101,105,109,113,117,121,0,0,0,0,0
0986435439,ONE,16,0,0,0,0,0,0,0,0,0,0,87,99,107,113,0,0
0986435443,ONE,16,0,0,0,0,90,95,100,106,111,116,118,0,0,0,0,0
0986435444,ONE,16,0,0,0,0,0,0,0,0,0,0,89,101,109,115,0,0
0986435449,ONE,16,0,0,0,0,95,100,105,111,116,121,123,0,0,0,0,0
