id,pump_code,test_name,vacuum,adjusting_time,measuring_time,motor_speed,target_pressure,min_direct_flow,max_direct_flow,min_back_flow,max_back_flow,regulator_current,pcv_current,calibration_min_i,calibration_max_i,calibration_i1,calibration_i2,calibration_i_offset,is_custom
8871,0 986 437 454,1,FALSE,60,,500,0,,,,,0.4,,,,,,,FALSE
8872,0 986 437 454,2,FALSE,60,,2000,500,,,,,0.4,,,,,,,FALSE
8873,0 986 437 454,5,FALSE,10,20,200,200,6.6,10.2,,,0.4,,,,,,,FALSE
8874,0 986 437 454,7,FALSE,10,20,1000,1800,33,43.8,,,0.4,,,,,,,FALSE
8875,0 986 437 454,10,FALSE,10,20,3375,500,84,118.8,,,0.9,,,,,,,FALSE
8876,0 986 437 454,11,FALSE,10,20,3375,500,36,60,,,1.2,,,,,,,FALSE
8877,0 986 437 454,12,FALSE,10,20,3375,500,4.8,21,,,1.5,,,,,,,FALSE
8878,0 986 437 454,13,TRUE,10,20,1000,0,0,0.6,,,1.7,,,,,,,FALSE
8879,0 986 437 455,1,FALSE,60,,500,0,,,,,0.4,,,,,,,FALSE
8880,0 986 437 455,2,FALSE,60,,2000,500,,,,,0.4,,,,,,,FALSE
8881,0 986 437 455,5,FALSE,10,20,200,200,2.4,5.4,,,0.4,,,,,,,FALSE
8882,0 986 437 455,7,FALSE,10,20,1000,2000,13.2,21,69.96,190.02,0.4,,,,,,,FALSE
8883,0 986 437 455,10,FALSE,10,20,3375,500,58.8,77.4,,,0.4,,,,,,,FALSE
8884,0 986 437 455,11,FALSE,10,20,3375,500,42.6,62.4,,,0.9,,,,,,,FALSE
8885,0 986 437 455,12,FALSE,10,20,3375,500,23.4,39,,,1.2,,,,,,,FALSE
8886,0 986 437 455,13,FALSE,10,20,3375,500,3.6,16.2,,,1.5,,,,,,,FALSE
8887,0 986 437 455,14,FALSE,10,20,1000,0,0,0.6,,,1.7,,,,,,,FALSE
8888,0 986 437 456,1,FALSE,60,,500,0,,,,,0.4,,,,,,,FALSE
8889,0 986 437 456,2,FALSE,60,,2000,500,,,,,0.4,,,,,,,FALSE
8890,0 986 437 456,5,FALSE,10,20,200,200,8.4,12.6,,,0.4,,,,,,,FALSE
8891,0 986 437 456,7,FALSE,10,20,1000,2000,40.2,51,,,0.4,,,,,,,FALSE
8892,0 986 437 456,10,FALSE,10,20,3375,500,86.4,120,,,0.9,,,,,,,FALSE
