id,pump_code,car_model
136,A2C59517049,Audi
137,A2C59517053,Audi
138,A2C59517054,Audi
139,0 445 010 158,Baw
140,0 445 010 368,Baw
141,0 445 020 119,Beijing
142,0 445 010 009,BMW
143,0 445 010 012,BMW
144,0 445 010 026,BMW
145,0 445 010 041,BMW
146,0 445 010 045,BMW
147,0 445 010 073,BMW
148,0 445 010 074,BMW
149,0 445 010 108,BMW
150,0 445 010 126,BMW
151,0 445 010 146,BMW
152,0 445 010 194,BMW
153,0 445 010 506,BMW
154,0 445 010 509,BMW
155,0 445 010 510,BMW
156,0 445 010 517,BMW
157,0 445 010 518,BMW
158,0 445 010 519,BMW
159,0 445 010 521,BMW
160,0 445 010 524,BMW
161,0 445 010 528,BMW
162,0 445 010 540,BMW
163,0 445 010 547,BMW
164,0 445 010 553,BMW
165,0 445 010 554,BMW
166,0 445 010 558,BMW
167,0 445 010 561,BMW
168,0 445 010 572,BMW
169,0 445 010 573,BMW
170,0 445 010 574,BMW
171,0 445 010 580,BMW
172,0 445 010 581,BMW
173,0 445 010 582,BMW
174,0 445 010 587,BMW
175,0 445 010 588,BMW
176,0 445 010 617,BMW
177,0 445 010 623,BMW
178,0 445 010 634,BMW
179,0 445 010 638,BMW
180,0 445 010 645,BMW
181,0 445 010 665,BMW
182,0 445 010 667,BMW
183,0 445 010 668,BMW
184,0 445 010 672,BMW
185,0 445 010 678,BMW
186,0 445 010 679,BMW
187,0 445 010 688,BMW
188,0 445 010 701,BMW
189,0 445 010 702,BMW
190,0 445 010 707,BMW
191,0 445 010 709,BMW
192,0 445 010 711,BMW
193,0 445 010 713,BMW
194,0 445 010 715,BMW
195,0 445 010 717,BMW
196,0 445 010 719,BMW
197,0 445 010 721,BMW
198,0 445 010 723,BMW
199,0 445 010 725,BMW
200,0 445 010 727,BMW
201,0 445 010 755,BMW
202,0 445 010 756,BMW
203,0 445 010 764,BMW
204,0 445 010 807,BMW
205,0 445 010 808,BMW
206,0 445 010 809,BMW
207,0 445 010 818,BMW
208,0 445 010 819,BMW
209,0 986 437 004,BMW
210,0 986 437 313,BMW
211,0 986 437 314,BMW
212,0 986 437 315,BMW
213,0 986 437 320,BMW
