pump_code,manufacturer,custom,feed_pressure,rotation,regulator_config,pressure_control,regulator_type,scv_curr_inj,scv_min_curr,scv_max_curr
0 445 010 108,Bosch,FALSE,3.6,RIGHT,SCV,RAIL,N_O,0.40,0.40,1.62
0 445 010 110,Bosch,FALSE,3.7,RIGHT,SCV,RAIL,N_O,0.40,0.40,1.62
0 445 010 111,Bosch,FALSE,3.7,RIGHT,SCV,RAIL,N_O,0.40,0.40,1.62
0 445 010 112,Bosch,FALSE,0.8,RIGHT,SCV,RAIL,N_O,0.40,0.40,1.52
0 445 010 113,Bosch,FALSE,0.8,RIGHT,SCV,RAIL,N_O,0.40,0.40,1.52
0 445 010 114,Bosch,FALSE,0.8,RIGHT,SCV,RAIL,N_O,0.40,0.40,1.52
0 445 010 115,Bosch,FALSE,0.8,RIGHT,SCV,RAIL,N_O,0.40,0.40,1.62
0 445 010 117,Bosch,FALSE,3.7,LEFT,SCV,RAIL,N_O,0.40,0.40,1.62
0 445 010 118,Bosch,FALSE,0.8,RIGHT,SCV,RAIL,N_O,0.40,0.40,1.70
0 445 010 119,Bosch,FALSE,0.8,LEFT,SCV,RAIL,N_O,0.40,0.40,1.62
0 445 010 120,Bosch,FALSE,3.7,LEFT,SCV,RAIL,N_O,0.40,0.40,1.62
0 445 010 121,Bosch,FALSE,3.7,RIGHT,SCV,RAIL,N_O,0.40,0.40,1.62
0 445 010 122,Bosch,FALSE,3.7,RIGHT,SCV,RAIL,N_O,0.40,0.40,1.70
0 445 010 123,Bosch,FALSE,5.0,RIGHT,SCV,RAIL,N_O,0.40,0.40,1.70
0 445 010 124,Bosch,FALSE,0.8,RIGHT,SCV,RAIL,N_O,0.40,0.40,1.70
0 445 010 125,Bosch,FALSE,0.8,RIGHT,SCV,RAIL,N_O,0.40,0.40,1.62
0 445 010 126,Bosch,FALSE,3.7,RIGHT,SCV,RAIL,N_O,0.40,0.40,1.62
0 445 010 127,Bosch,FALSE,3.7,LEFT,SCV,RAIL,N_O,0.40,0.40,1.62
0 445 010 128,Bosch,FALSE,5.0,RIGHT,SCV,RAIL,N_O,0.40,0.40,1.70
0 445 010 129,Bosch,FALSE,5.0,RIGHT,SCV,RAIL,N_O,0.40,0.40,1.70
0 445 010 130,Bosch,FALSE,5.0,RIGHT,SCV,RAIL,N_O,0.40,0.40,1.70
0 445 010 131,Bosch,FALSE,0.8,RIGHT,SCV,RAIL,N_C,1.70,0.54,1.70
0 445 010 132,Bosch,FALSE,1.9,RIGHT,NO_CONFIG,RAIL_AND_PUMP,NO_TYPE,,,
0 445 010 133,Bosch,FALSE,0.8,RIGHT,SCV,RAIL,N_O,0.40,0.40,1.70
0 445 010 134,Bosch,FALSE,0.8,RIGHT,SCV,RAIL,N_O,0.40,0.40,1.52
0 445 010 135,Bosch,FALSE,3.7,LEFT,SCV,RAIL,N_O,0.40,0.40,1.62
